seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,gravity_z,gravity_y,gravity_x,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,magnetometer_z,magnetometer_y,magnetometer_x,compass_magneticBearing,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_ssid,network_bssid,network_strength,network_ipAddress,network_frequency,network_cellularGeneration,network_carrier,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x
35,0.230964111,0.113259504,-0.082866498,-0.526009704,9.760984062,-0.257614812,0.013966461,-0.149794677,-0.025674381,-0.294933853,-0.215814555,0.59027261,0.718902267,0.195762731,-1.355015855,0.939768625,-24.29325085,-37.34700157,-17.30925076,155.1565424,,,,,,,,,,,,,-0.294940116,9.873771252,-0.340391591,-42.41362663,-31.66987606,39.2617514,0.01538094,-0.153848886,-0.027091584,-0.294940116,9.873771252,-0.340391591
36,-0.124657199,-0.377493424,-0.078908582,-0.325187198,9.767759266,-0.422630247,-0.023050123,0.132183332,-0.063405023,-0.315381256,-0.215698664,0.583898883,0.715567419,0.249782454,-1.334829073,1.025661224,-24.67725098,-38.17050156,-17.67600075,155.2213711,none,FALSE,FALSE,FALSE,,,,,,,,,-0.449636155,9.389771764,-0.501444077,-42.79537651,-32.49112652,38.89650154,-0.018580197,0.125698143,-0.065396906,-0.449636155,9.389771764,-0.501444077
37,0.334211031,-0.284700334,0.055536302,-0.322811693,9.772918484,0.001220198,0.01155953,0.051307921,-0.012500248,-0.273044733,-0.210340812,0.588709615,0.730966173,0.064648503,-1.349691625,0.766860104,-26.48812611,-36.8362513,-19.20487572,152.4811721,,,,,,,,,,,,,0.011468321,9.487730697,0.056650991,-44.60550125,-31.16025101,37.36837662,0.012975371,0.047257797,-0.01392698,0.011468321,9.487730697,0.056650991
38,0.335506274,-0.034306226,0.117505046,-0.44100403,9.775889696,-0.19722805,-0.050550122,-0.095375122,0.026087256,-0.289210156,-0.209312471,0.589182062,0.724420039,0.173022619,-1.346106113,0.898417698,-26.63287613,-37.95300171,-17.9850008,154.6384139,none,FALSE,FALSE,FALSE,,,,,,,,,-0.105326472,9.741070995,-0.079688242,-44.75250145,-32.27512627,38.58750168,-0.049137377,-0.099431372,0.024662377,-0.105326472,9.741070995,-0.079688242
39,0.296283655,0.135455734,0.040141904,-0.625204603,9.754338878,-0.211316613,0.035966461,0.014305446,0.034765718,-0.296469873,-0.226187268,0.592494068,0.713741104,0.135271297,-1.370464975,0.896470874,-25.61737614,-37.89300148,-18.40012566,154.12178,,,,,,,,,,,,,-0.328774771,9.88923315,-0.171200504,-43.73625137,-32.21475155,38.17425163,0.037378217,0.010247154,0.033338984,-0.328774771,9.88923315,-0.171200504
40,-0.036238676,-0.294557032,0.067140412,-0.417510353,9.773825374,-0.046843351,-0.001779411,0.023424876,0.004785539,-0.278853734,-0.218215489,0.587886456,0.726977248,0.047840816,-1.352933964,0.770683137,-26.47462601,-35.01337654,-16.84275064,154.3145394,none,FALSE,FALSE,FALSE,,,,,,,,,-0.453547082,9.478738696,0.020258826,-44.5942514,-29.33475121,39.72900146,-3.65E-04,0.019372671,0.003371446,-0.453547082,9.478738696,0.020258826
41,0.067396344,-0.517710194,0.152005334,-0.177607693,9.768135382,-0.520056632,-0.017538737,-0.127540098,-0.035545791,-0.319066396,-0.224298386,0.576788106,0.716989897,0.192003004,-1.329295896,0.987224853,-25.47300106,-36.66037666,-17.11012564,155.0565489,,,,,,,,,,,,,-0.110114858,9.249901946,-0.367920309,-43.59150169,-30.98250126,39.46387665,-0.016129703,-0.131599752,-0.036977971,-0.110114858,9.249901946,-0.367920309
42,0.349922117,-0.100222139,-0.028929257,0.020240743,9.779390637,-0.327055744,0.034853553,-0.012829289,-0.023854903,-0.311359762,-0.237230635,0.565933474,0.725317747,0.036286613,-1.320548085,0.839742993,-25.81575115,-37.6717514,-18.72187565,153.584015,none,FALSE,FALSE,FALSE,,,,,,,,,0.363979427,9.652579887,-0.367291197,-43.93650154,-31.99462646,37.85100151,0.035412376,-0.016220915,-0.023556064,0.363979427,9.652579887,-0.367291197
43,0.354761647,0.11303363,-0.076198455,-0.026964248,9.77439023,-0.368277628,0.019274264,-0.006260294,0.010211397,-0.330583666,-0.236044511,0.556461848,0.724499462,0.093115344,-1.296006869,0.926032245,-25.2742511,-37.75725128,-18.45300079,153.9543678,,,,,,,,,,,,,0.327826486,9.88692106,-0.444382373,-43.39125175,-32.07787632,38.11987656,0.020682966,-0.01032598,0.008793259,0.327826486,9.88692106,-0.444382373
44,-0.042423029,-0.183864162,-0.05781393,-0.269975149,9.773590721,-0.341386861,-0.005781807,0.029917821,-0.036901732,-0.318241582,-0.226669396,0.574327348,0.719035804,0.162232509,-1.326393111,0.959697405,-24.79500099,-37.91025131,-18.08137581,154.516704,none,FALSE,FALSE,FALSE,,,,,,,,,-0.31211437,9.589252453,-0.399225764,-42.91425156,-32.23162643,38.49075127,-0.004364603,0.025867699,-0.038327104,-0.31211437,9.589252453,-0.399225764
